ID,Nom,SKU,Code Barre,Catégorie,Marque,Quantité en Stock,Stock Minimum,Stock Maximum,Prix de Vente (Détail),Prix de Gros,Prix d'Achat,CUMP (Coût Unitaire Moyen Pondéré),Dernier Prix d'Achat,Valeur Stock (CUMP),Valeur Stock (Prix de Vente),Valeur Stock (Prix de Gros),Statut Stock
695a4f663432a6b7fb3d0d2a,AIR COOLER GEANT,GN-MRAW-3,20675262366730,Electromenager,,4,0,999999,4200,1100,,,,0,16800,4400,Normal
6933eb373e004f0b56bcf7dd,ASPIRATEUR MULTISMART,MS-VC4310,20650102176294,Electromenager,,1,0,999999,11900,8100,,8100,8100,8100,11900,8100,Normal
6933eba73e004f0b56bcf7e9,ASPIRATEUR MULTISMART,MS-VC1022,20650103326137,Electromenager,,0,0,999999,16800,12700,,12700,12700,0,0,0,Rupture
6933ebd13e004f0b56bcf7ef,ASPIRATEUR MULTISMART,MS-VC1011,20650103739418,Electromenager,,2,0,999999,12500,8900,,8900,8900,17800,25000,17800,Normal
693421f53e004f0b56bcfa21,ASPIRATEUR MULTISMART,MS-VC2011-1,20650242136881,Electromenager,,1,0,999999,11000,8300,,,,0,11000,8300,Normal
693422653e004f0b56bcfa2b,ASPIRATEUR MULTISMART,MS-VC103,20650243451048,Electromenager,,1,0,999999,14800,8200,,8200,8200,8200,14800,8200,Normal
693aeb7d81c7066676216efe,ASPIRATEUR MULTISMART,MS-VC421-2,20654690303769,Electromenager,,1,0,999999,15000,14300,,14300,14300,14300,15000,14300,Normal
693aeba081c7066676216f04,ASPIRATEUR MULTISMART,MS-VC2111,20654690769604,Electromenager,,3,0,999999,7500,4900,,4900,4900,14700,22500,14700,Normal
6933eb7e3e004f0b56bcf7e3,ASPIRATEUR MULTISMART ,MS-VC4316,20650102903494,Electromenager,,1,0,999999,12900,8700,,,,0,12900,8700,Normal
692c6ffe3e004f0b56bcea53,BAIN DHUILE  GEANT GRIS 9 ELEMENT,BH-JS29,20645199207592,Electromenager,,1,0,999999,12500,10000,,5000,10000,5000,12500,10000,Normal
6934328d3e004f0b56bcfa9e,BAIN DHUILE LUXINOX ROUGE,HDB-F108,20650284826178,Electromenager,,1,0,999999,15000,11000,,,,0,15000,11000,Normal
696208b43432a6b7fb3e5207,BAIN DHUILE MEDIA 11L,NY23EC-11L,20680324195878,Electromenager,,1,0,999999,14500,11900,,,,0,14500,11900,Normal
692c6f1b3e004f0b56bcea41,BAIN DHUILE MIDEA VENTIL 11 ELEMENT,NY23ECF-11L,20645196940636,Electromenager,,0,0,999999,17000,13900,,,,0,0,0,Rupture
692c6f5d3e004f0b56bcea47,BAIN DHUILE MULTISMART 13 ELEMENT,MS-OH1131,20645197616950,Electromenager,,1,0,999999,14500,10500,,,,0,14500,10500,Normal
692c70873e004f0b56bcea5f,BAIN DHUILE MULTISMART GRIS VENTIL 13 ELEMENT,MS-OH1132,20645200639831,Electromenager,,1,0,999999,14500,11900,,,,0,14500,11900,Normal
693432613e004f0b56bcfa98,BAIN DHUILE MULTISMART NOIR,MS-OH3101,20650283794260,Electromenager,,2,0,999999,12000,9300,,4650,9300,9300,24000,18600,Normal
692c6f8f3e004f0b56bcea4d,BAIN DHUILE MULTISMART NOIR 13 ELEMENT,MS-OH2131,20645198135355,Electromenager,,1,0,999999,14500,11300,,,,0,14500,11300,Normal
692c70413e004f0b56bcea59,BAIN DHUILE SCHALLENGE NOIR VENTIL 9 ELEMENT,AMB-2409HF,20645199927676,Electromenager,,3,0,999999,14000,11600,,7733.33,11600,23199.99,42000,34800,Normal
6933ef8b3e004f0b56bcf857,BAKER MOULINEX ,SERIE-R27,20650113263178,Electromenager,,2,0,999999,27500,22000,,11000,22000,22000,55000,44000,Normal
6933f2463e004f0b56bcf861,BAKER SONIFER,SF-4005,20650120133738,Electromenager,,1,0,999999,21800,14500,,,,0,21800,14500,Normal
693033c13e004f0b56bcf4fc,BATTEUR CONTIGLOABL,CG-HM5KDS-BE,20647666440540,Electromenager,,1,0,999999,3800,2400,,,,0,3800,2400,Normal
692ef72c3e004f0b56bcf2da,BATTEUR CONTIGLOBAL,CG-HM5AM-N,20646856033928,Electromenager,,4,0,999999,3200,2400,,600,2400,2400,12800,9600,Normal
692ef9503e004f0b56bcf2e6,BATTEUR CONTIGLOBAL,CG-HM5CCA-N,20646857189682,Electromenager,,3,0,999999,3900,2900,,966.67,2900,2900.01,11700,8700,Normal
692effd83e004f0b56bcf333,BATTEUR CONTIGLOBAL,CG-HB2MP2,20646878128014,Electromenager,,17,0,999999,3500,2200,,2077.78,2200,35322.26,59500,37400,Normal
692ff7543e004f0b56bcf3c6,BATTEUR CONTIGLOBAL,CG-HB2MSS,20647511769060,Electromenager,,4,0,999999,4500,2400,,600,2400,2400,18000,9600,Normal
693002e23e004f0b56bcf3e8,BATTEUR CONTIGLOBAL,CG-HB2DM4,20647541370114,Electromenager,,3,0,999999,6800,3650,,912.5,3650,2737.5,20400,10950,Normal
6930320a3e004f0b56bcf4d5,BATTEUR CONTIGLOBAL,CG-HM5IP-BG,20647655303661,Electromenager,,10,0,999999,3500,2400,,1200,2400,12000,35000,24000,Normal
695a4f2f3432a6b7fb3d0bf2,BATTEUR CONTIGLOBAL 3in1,CG-HB2M4,20675261703372,Electromenager,,1,0,999999,6400,3650,,,,0,6400,3650,Normal
692ef76f3e004f0b56bcf2e0,BATTEUR MULTISMART,MS-HM106,20646856720569,Electromenager,,2,0,999999,3450,2000,,,,0,6900,4000,Normal
692efa943e004f0b56bcf2fe,BATTEUR MULTISMART,MS-HB2207,20646864685047,Electromenager,,1,0,999999,4450,3400,,,,0,4450,3400,Normal
692efae93e004f0b56bcf304,BATTEUR MULTISMART,MS-HB2211,20646865565847,Electromenager,,1,0,999999,4650,3300,,,,0,4650,3300,Normal
692efb933e004f0b56bcf310,BATTEUR MULTISMART,MS-HB201,20646867291926,Electromenager,,3,0,999999,2450,1500,,1000,1500,3000,7350,4500,Normal
692eff3e3e004f0b56bcf327,BATTEUR MULTISMART,MS-HB161,20646876243854,Electromenager,,1,0,999999,2800,1550,,,,0,2800,1550,Normal
692eff9f3e004f0b56bcf32d,BATTEUR MULTISMART,MS-HB3031,20646877311443,Electromenager,,1,0,999999,5500,4550,,,,0,5500,4550,Normal
692f00473e004f0b56bcf33f,BATTEUR MULTISMART,MS-HB3104,20646879269920,Electromenager,,1,0,999999,4500,3050,,,,0,4500,3050,Normal
692f01b23e004f0b56bcf34b,BATTEUR MULTISMART,MS-HB2191,20646882923202,Electromenager,,1,0,999999,4950,3600,,,,0,4950,3600,Normal
692f02743e004f0b56bcf357,BATTEUR MULTISMART,MS-HB206,20646884927212,Electromenager,,1,0,999999,4850,3100,,,,0,4850,3100,Normal
692f03183e004f0b56bcf369,BATTEUR MULTISMART,MS-HB3204,20646886511219,Electromenager,,3,0,999999,5500,3800,,1266.67,3800,3800.01,16500,11400,Normal
692f038a3e004f0b56bcf36f,BATTEUR MULTISMART,MS-HB205,20646887710974,Electromenager,,1,0,999999,5800,3500,,,,0,5800,3500,Normal
6930326b3e004f0b56bcf4db,BATTEUR MULTISMART,MS-HB1611,20647662978948,Electromenager,,5,0,999999,2750,1250,,,,0,13750,6250,Normal
6930329b3e004f0b56bcf4e1,BATTEUR MULTISMART,MS-HB3202,20647663508629,Electromenager,,3,0,999999,4950,3800,,2400,3600,7200,14850,11400,Normal
693032ca3e004f0b56bcf4e7,BATTEUR MULTISMART,MS-HM4115,20647663986382,Electromenager,,8,0,999999,3250,1750,,,,0,26000,14000,Normal
693804fd81c7066676215e8b,BATTEUR MULTISMART,MS-HB2212,20652789604641,Electromenager,,1,0,999999,4650,3250,,,,0,4650,3250,Normal
693d27c881c706667621721f,BATTEUR MULTISMART,MS-HB5033,20656155469572,Electromenager,,1,0,999999,5400,3500,,,,0,5400,3500,Normal
692efb633e004f0b56bcf30a,BATTEUR MULTISMART ,MS-HB2109,20646866159847,Electromenager,,4,0,999999,3800,2450,,1960,2450,7840,15200,9800,Normal
692efd8d3e004f0b56bcf31b,BATTEUR MULTISMART ,MS-HB101,20646872292327,Electromenager,,3,0,999999,2800,1350,,450,1350,1350,8400,4050,Normal
692efdd13e004f0b56bcf321,BATTEUR MULTISMART ,MS-HB251,20646873039842,Electromenager,,1,0,999999,4250,3450,,1725,3450,1725,4250,3450,Normal
692f017d3e004f0b56bcf345,BATTEUR MULTISMART ,MS-HB217,20646879763523,Electromenager,,1,0,999999,3800,2600,,,,0,3800,2600,Normal
692f02403e004f0b56bcf351,BATTEUR MULTISMART ,MS-HB601,20646884423378,Electromenager,,1,0,999999,5800,3800,,,,0,5800,3800,Normal
6930330a3e004f0b56bcf4f1,BATTEUR MULTISMART ,MS-HM107,20647664657825,Electromenager,,1,0,999999,3850,2800,,,,0,3850,2800,Normal
